2020 RECS Variable and Response Codebook,,,,,
Variable,Type,Description and Labels,Response Codes,Section,
H2OAPT,Num,Water heating equipment serves multiple housing units in building,"1 Yes
0 No
-2 Not applicable",WATER HEATING,
H2OMAIN,Num,Location of main water heating equipment in single-family home,"1 Main living space
2 Basement
3 Garage
4 Outside
99 Other 
-2 Not applicable",WATER HEATING,
WHEATSIZ,Num,Main water heater size,"1 Small (30 gallons or less)
2 Medium (31 to 49 gallons)
3 Large (50 gallons or more)
4 Tankless or on-demand",WATER HEATING,
WHEATBKT,Num,Main water heater has blanket,"1 Yes
0 No
-2 Not applicable",WATER HEATING,
WHEATAGE,Num,Main water heater age,"1 Less than 2 years old
2 2 to 4 years old
3 5 to 9 years old
4 10 to 14 years old
5 15 to 19 years old
6 20 or more years old",WATER HEATING,
FUELH2O,Num,Fuel used by main water heater,"5 Electricity
1 Natural gas from underground pipes
2 Propane (bottled gas)
3 Fuel oil
7 Wood
8 Solar thermal
99 Other ",WATER HEATING,
MORETHAN1H2O,Num,Has more than one water heater,"1 Yes
0 No",WATER HEATING,
FUELH2O2,Num,Fuel used by secondary water heater,"5 Electricity
1 Natural gas from underground pipes
2 Propane (bottled gas)
3 Fuel oil
7 Wood
8 Solar thermal
99 Other 
-2 Not applicable",WATER HEATING,
ELWATER,Num,Electricity used for water heating; a derived variable,"1 Yes
0 No",WATER HEATING,
FOWATER,Num,Fuel oil used for water heating; a derived variable,"1 Yes
0 No",WATER HEATING,
LPWATER,Num,Propane used for water heating; a derived variable,"1 Yes
0 No",WATER HEATING,
SOLWATER,Num,Solar used for water heating; a derived variable,"1 Yes
0 No",WATER HEATING,
WDWATER,Num,Wood used for water heating; a derived variable,"1 Yes
0 No",WATER HEATING,
UGWATER,Num,Natural gas used for water heating; a derived variable,"1 Yes
0 No",WATER HEATING,
LGTIN1TO4,Num,Number of inside light bulbs turned on 1 to 4 hours per day,0 - 90,LIGHTING,
LGTIN4TO8,Num,Number of inside light bulbs turned on 4 to 8 hours per day,0 - 84,LIGHTING,
LGTINMORE8,Num,Number of inside light bulbs turned on more than 8 hours per day,0 - 99,LIGHTING,
LGTINLED,Num,Portion of inside light bulbs that are LED,"1 All 
2 Most 
3 About half 
4 Some 
0 None ",LIGHTING,
LGTINCFL,Num,Portion of inside light bulbs that are CFL,"1 All 
2 Most 
3 About half 
4 Some 
0 None ",LIGHTING,
LGTINCAN,Num,Portion of inside light bulbs that are incandescent or halogen,"1 All 
2 Most 
3 About half 
4 Some 
0 None ",LIGHTING,
LGTOUTANY,Num,Any outside light bulbs left on all night,"1 Yes
0 No",LIGHTING,
LGTOUTNITE,Num,Number of outside light bulbs left on all night,"1 - 65
-2 Not applicable",LIGHTING,
LGTOUTLED,Num,Any outside LED bulbs left on all night,"1 Yes
0 No
-2 Not applicable",LIGHTING,
LGTOUTCFL,Num,Any outside CFL bulbs left on all night,"1 Yes
0 No
-2 Not applicable",LIGHTING,
LGTOUTCAN,Num,Any outside incandescent or halogen bulbs left on all night,"1 Yes
0 No
-2 Not applicable",LIGHTING,
ELPAY,Num,Who pays for electricity,"1 Household is responsible for paying for all electricity used in this home
2 All electricity used in this home is included in the rent or condo fee
3 Some is paid by the household, some is included in the rent or condo fee
99 Other",ENERGY BILLS,
NGPAY,Num,Who pays for natural gas,"1 Household is responsible for paying for all natural gas used in this home
2 All natural gas used in this home is included in the rent or condo fee
3 Some is paid by the household, some is included in the rent or condo fee
99 Other
-2 Do not use natural gas",ENERGY BILLS,
LPGPAY,Num,Who pays for propane,"1 Household is responsible for paying for all propane used in this home
2 All propane used in this home is included in the rent or condo fee
3 Some is paid by the household, some is included in the rent or condo fee
99 Other 
-2 Do not use propane",ENERGY BILLS,
FOPAY,Num,Who pays for fuel oil,"1 Household is responsible for paying for all fuel oil used in this home
2 All fuel oil used in this home is included in the rent or condo fee
3 Some is paid by the household, some is included in the rent or condo fee
99 Other 
-2 Do not use fuel oil",ENERGY BILLS,
SMARTMETER,Num,Home has an electricity smart meter,"1 Yes
0 No
-4 Don't Know",ENERGY BILLS,
INTDATAACC,Num,Household member has viewed smart meter interval data,"1 Yes
0 No
-2 Not applicable",ENERGY BILLS,
MEDICALDEV,Num,Any medical devices used at home,"1 Yes
0 No",ENERGY BILLS,
POWEROUT,Num,Any power outages for at least 24 hours in the past year,"1 Yes
0 No",ENERGY BILLS,
WHYPOWEROUT,Num,Reason for power outage,"1 Natural disaster or weather event
2 Unable to pay electric bills
3 Electric utility had a planned or unplanned blackout
99 Other
-2 No power outage ",ENERGY BILLS,
BACKUP,Num,Has back-up generator,"1 Yes
0 No",ENERGY BILLS,
SOLAR,Num,On-site electricity generation from solar; 'Not applicable' applies to apartment buildings with 2 or more units.,"1 Yes
0 No
-2 Not applicable",ENERGY BILLS,
OUTLET,Num,Parks vehicle within 20 feet of an outlet,"1 Yes
0 No
-2 Not applicable",ENERGY BILLS,
ELECVEH,Num,Household owns or leases an electric vehicle,"1 Yes
0 No",ENERGY BILLS,
EVCHRGHOME,Num,EV is charged at home,"1 Yes
0 No
-2 Not applicable
""."" Missing",ENERGY BILLS,
ELOTHER,Num,"Electricity used, other than for space heating, water heating, air conditioning, or cooking; a derived variable",1 Yes,ENERGY BILLS,
UGOTH,Num,"Natural gas used, other than for space heating, water heating, or cooking; a derived variable","1 Yes
0 No",ENERGY BILLS,
LPOTHER,Num,"Propane used, other than for space heating, water heating, or cooking; a derived variable","1 Yes
0 No",ENERGY BILLS,
FOOTHER,Num,"Fuel oil used, other than for space heating or water heating; a derived variable","1 Yes
0 No",ENERGY BILLS,
USEEL,Num,Electricity used; a derived variable,1 Yes,ENERGY BILLS,
USENG,Num,Natural gas used; a derived variable,"1 Yes
0 No",ENERGY BILLS,
USELP,Num,Propane used; a derived variable,"1 Yes
0 No",ENERGY BILLS,
USEFO,Num,Fuel oil used; a derived variable,"1 Yes
0 No",ENERGY BILLS,
USESOLAR,Num,Solar thermal used; a derived variable,"1 Yes
0 No",ENERGY BILLS,
USEWOOD,Num,Wood used; a derived variable,"1 Yes
0 No",ENERGY BILLS,
ALLELEC,Num,"Household only uses electricity. Does not use natural gas, propane, fuel oil, or wood; a derived variable","1 Yes
0 No",ENERGY BILLS,
HHSEX,Num,Respondent sex,"1 Female
2 Male",HOUSEHOLD CHARACTERISTICS,
HHAGE,Num,Respondent age (top-coded),18 - 90,HOUSEHOLD CHARACTERISTICS,
EMPLOYHH,Num,Respondent employment status,"1 Employed full-time
2 Employed part-time
3 Retired
4 Not employed",HOUSEHOLD CHARACTERISTICS,
EDUCATION,Num,Highest level of education completed by respondent,"1 Less than high school diploma or GED
2 High school diploma or GED
3 Some college or Associate’s degree
4 Bachelor’s degree
5 Master’s, Professional, or Doctoral degree ",HOUSEHOLD CHARACTERISTICS,
SDESCENT,Num,Respondent is Hispanic or Latino,"1 Yes
0 No",HOUSEHOLD CHARACTERISTICS,
HOUSEHOLDER_RACE,Num,Householder (respondent) race,"1 White Alone
2 Black or African/American Alone
3 American Indian or Alaska Native Alone
4 Asian Alone
5 Native Hawaiian or Other Pacific Islander Alone
6 2 or More Races Selected",HOUSEHOLD CHARACTERISTICS,
NHSLDMEM,Num,Number of household members (top-coded),1 - 7,HOUSEHOLD CHARACTERISTICS,
NUMCHILD,Num,Number of household members age 17 or younger (top-coded),0 - 4,HOUSEHOLD CHARACTERISTICS,
NUMADULT1,Num,Number of household members age 18 to 64,1 - 7,HOUSEHOLD CHARACTERISTICS,
NUMADULT2,Num,Number of household members age 65 or older,0 - 6,HOUSEHOLD CHARACTERISTICS,
ATHOME,Num,Number of weekdays someone is at home most or all of the day,"0 None
1 1 day
2 2 days
3 3 days
4 4 days
5 5 days",HOUSEHOLD CHARACTERISTICS,
MONEYPY,Num,Annual gross household income for the past year,"1 Less than $5,000
2 $5,000 - $7,499
3 $7,500 - $9,999
4 $10,000 - $12,499
5 $12,500 - $14,999
6 $15,000 - $19,999
7 $20,000 - $24,999
8 $25,000 - $29,999
9 $30,000 - $34,999
10 $35,000 - $39,999
11 $40,000 - $49,999
12 $50,000 - $59,999
13 $60,000 - $74,999
14 $75,000 - $99,999
15 $100,000 - $149,999
16 $150,000 or more",HOUSEHOLD CHARACTERISTICS,
SCALEB,Num,Frequency of reducing or forgoing basic necessities due to home energy bill,"1 Almost every month
2 Some months
3 1 or 2 months
0 Never",ENERGY ASSISTANCE,
SCALEG,Num,Frequency of keeping home at unhealthy temperature,"1 Almost every month
2 Some months
3 1 or 2 months
0 Never",ENERGY ASSISTANCE,
SCALEE,Num,Frequency of receiving disconnection notice,"1 Almost every month
2 Some months
3 1 or 2 months
0 Never",ENERGY ASSISTANCE,
PAYHELP,Num,Received energy assistance to help pay energy bills after disconnection notice,"1 Yes
0 No
-2 Not applicable",ENERGY ASSISTANCE,
NOHEATBROKE,Num,Unable to use heating equipment in the past year because equipment was broken and could not afford repair or replacement,"1 Yes
0 No",ENERGY ASSISTANCE,
NOHEATEL,Num,Unable to use heating equipment in the past year because could not afford electricity and it was disconnected,"1 Yes
0 No",ENERGY ASSISTANCE,
NOHEATNG,Num,Unable to use heating equipment in the past year because could not afford natural gas and it was disconnected,"1 Yes
0 No",ENERGY ASSISTANCE,
NOHEATBULK,Num,Unable to use heating equipment in the past year because could not afford bulk fuel delivery,"1 Yes
0 No",ENERGY ASSISTANCE,
NOHEATDAYS,Num,Number of days unable to use heating equipment in the past year,"1 - 366
-2 Not applicable",ENERGY ASSISTANCE,
NOHEATHELP,Num,Received energy assistance to help restore heating,"1 Yes
0 No
-2 Not applicable",ENERGY ASSISTANCE,
COLDMA,Num,Medical attention needed because home was too cold,"1 Yes
0 No",ENERGY ASSISTANCE,
NOACBROKE,Num,Unable to use air conditioning equipment in the past year because equipment was broken and could not afford repair or replacement,"1 Yes
0 No",ENERGY ASSISTANCE,
NOACEL,Num,Unable to use air conditioning equipment in the past year because could not afford electricity and it was disconnected,"1 Yes
0 No",ENERGY ASSISTANCE,
NOACDAYS,Num,Number of days unable to use air conditioning equipment in the past year,"1 - 366
-2 Not applicable",ENERGY ASSISTANCE,
NOACHELP,Num,Received energy assistance to help restore air conditioning,"1 Yes
0 No
-2 Not applicable",ENERGY ASSISTANCE,
HOTMA,Num,Medical attention needed because home was too hot,"1 Yes
0 No",ENERGY ASSISTANCE,
ENERGYASST,Num,Ever participated in home energy assistance program,"1 Yes
0 No",ENERGY ASSISTANCE,
ENERGYASST20,Num,Received home energy assistance in 2020,"1 Yes
0 No
-2 Not applicable",ENERGY ASSISTANCE,
ENERGYASST19,Num,Received home energy assistance in 2019,"1 Yes
0 No
-2 Not applicable",ENERGY ASSISTANCE,
ENERGYASST18,Num,Received home energy assistance in 2018,"1 Yes
0 No
-2 Not applicable",ENERGY ASSISTANCE,
ENERGYASST17,Num,Received home energy assistance in 2017,"1 Yes
0 No
-2 Not applicable",ENERGY ASSISTANCE,
ENERGYASST16,Num,Received home energy assistance in 2016,"1 Yes
0 No
-2 Not applicable",ENERGY ASSISTANCE,
ENERGYASSTOTH,Num,Received home energy assistance in some other year,"1 Yes
0 No
-2 Not applicable",ENERGY ASSISTANCE,
SQFTRANGE,Num,Respondent-reported square footage range,"1 Less than 600 square feet
2 600 to 799 square feet
3 800 to 999 square feet
4 1,000 to 1,499 square feet
5 1,500 to 1,999 square feet
6 2,000 to 2,499 square feet
7 2,500 to 2,999 square feet
8 3,000 square feet or more",YOUR HOME,
SQFTINCB,Num,Respondent-reported square footage includes basement,"1 Yes
0 No
-2 Not applicable",YOUR HOME,
SQFTINCA,Num,Respondent-reported square footage includes attic,"1 Yes
0 No
-2 Not applicable",YOUR HOME,
SQFTINCG,Num,Respondent-reported square footage includes garage,"1 Yes
0 No
-2 Not applicable",YOUR HOME,
SQFTEST,Num,Respondent-reported square footage (rounded to the nearest 10),240-15000,YOUR HOME,
TOTSQFT_EN,Num,"Total energy-consuming area (square footage) of the housing unit. Includes all main living areas; all basements; heated, cooled, or finished attics; and heating or cooled garages. For single-family housing units this is derived using the respondent-reported square footage (SQFTEST) and adjusted using the ""include"" variables (e.g., SQFTINCB), where applicable. For apartments and mobile homes this is the respondent-reported square footage. A derived variable rounded to the nearest 10",200-15000,YOUR HOME,
TOTHSQFT,Num,Square footage of the housing unit that is heated by space heating equipment. A derived variable rounded to the nearest 10,0-15000,YOUR HOME,
TOTCSQFT,Num,"Square footage of the housing unit that is cooled by air-conditioning equipment or evaporative cooler, a derived variable rounded to the nearest 10",0-14600,YOUR HOME,
ZACEQUIPAGE,Num,Imputation indicator for ACEQUIPAGE,"1 Imputed
0 Not imputed
-2 Not applicable",AIR CONDITIONING,
ZADQINSUL,Num,Imputation indicator for ADQINSUL,"1 Imputed
0 Not imputed",YOUR HOME,
ZAGECDRYER,Num,Imputation indicator for AGECDRYER,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,
ZAGECWASH,Num,Imputation indicator for AGECWASH,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,
ZAGEDW,Num,Imputation indicator for AGEDW,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,
ZAGEFRZR,Num,Imputation indicator for AGEFRZR,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,
ZAGERFRI1,Num,Imputation indicator for AGERFRI1,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,
ZAGERFRI2,Num,Imputation indicator for AGERFRI2,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,
ZAIRCOND,Num,Imputation indicator for AIRCOND,"1 Imputed
0 Not imputed",AIR CONDITIONING,
ZAMTMICRO,Num,Imputation indicator for AMTMICRO,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,
ZATHOME,Num,Imputation indicator for ATHOME,"1 Imputed
0 Not imputed",HOUSEHOLD CHARACTERISTICS,
ZATTCCOOL,Num,Imputation indicator for ATTCCOOL,"1 Imputed
0 Not imputed
-2 Not applicable",AIR CONDITIONING,
ZATTCHEAT,Num,Imputation indicator for ATTCHEAT,"1 Imputed
0 Not imputed
-2 Not applicable",SPACE HEATING,
ZATTIC,Num,Imputation indicator for ATTIC,"1 Imputed
0 Not imputed
-2 Not applicable",YOUR HOME,
ZATTICFAN,Num,Imputation indicator for ATTICFAN,"1 Imputed
0 Not imputed
-2 Not applicable",AIR CONDITIONING,
ZATTICFIN,Num,Imputation indicator for ATTICFIN,"1 Imputed
0 Not imputed
-2 Not applicable",YOUR HOME,
ZBACKUP,Num,Imputation indicator for BACKUP,"1 Imputed
0 Not imputed",ENERGY BILLS,
ZBASECOOL,Num,Imputation indicator for BASECOOL,"1 Imputed
0 Not imputed
-2 Not applicable",AIR CONDITIONING,
ZBASEFIN,Num,Imputation indicator for BASEFIN,"1 Imputed
0 Not imputed
-2 Not applicable",YOUR HOME,
ZBASEHEAT,Num,Imputation indicator for BASEHEAT,"1 Imputed
0 Not imputed
-2 Not applicable",SPACE HEATING,
ZBASEOTH,Num,Imputation indicator for BASEOTH,"1 Imputed
0 Not imputed
-2 Not applicable",YOUR HOME,
ZBEDROOMS,Num,Imputation indicator for BEDROOMS,"1 Imputed
0 Not imputed",YOUR HOME,
ZBLENDER,Num,Imputation indicator for BLENDER,"1 Imputed
0 Not imputed",APPLIANCES,
ZCABLESAT,Num,Imputation indicator for CABLESAT,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,
ZCELLAR,Num,Imputation indicator for CELLAR,"1 Imputed
0 Not imputed
-2 Not applicable",YOUR HOME,
ZCELLPHONE,Num,Imputation indicator for CELLPHONE,"1 Imputed
0 Not imputed",ELECTRONICS,
ZCOLDMA,Num,Imputation indicator for COLDMA,"1 Imputed
0 Not imputed",ENERGY ASSISTANCE,
ZCOMBODVR,Num,Imputation indicator for COMBODVR,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,
ZCONCRETE,Num,Imputation indicator for CONCRETE,"1 Imputed
0 Not imputed
-2 Not applicable",YOUR HOME,
ZCOOKTOP,Num,Imputation indicator for COOKTOP,"1 Imputed
0 Not imputed",APPLIANCES,
ZCOOKTOPFUEL,Num,Imputation indicator for COOKTOPFUEL,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,
ZCOOKTOPINDT,Num,Imputation indicator for COOKTOPINDT,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,
ZCOOKTOPUSE,Num,Imputation indicator for COOKTOPUSE,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,
ZCOOLAPT,Num,Imputation indicator for COOLAPT,"1 Imputed
0 Not imputed
-2 Not applicable",AIR CONDITIONING,
ZCOOLCNTL,Num,Imputation indicator for COOLCNTL,"1 Imputed
0 Not imputed
-2 Not applicable",AIR CONDITIONING,
ZCRAWL,Num,Imputation indicator for CRAWL,"1 Imputed
0 Not imputed
-2 Not applicable",YOUR HOME,
ZCROCKPOT,Num,Imputation indicator for CROCKPOT,"1 Imputed
0 Not imputed",APPLIANCES,
ZCWASHER,Num,Imputation indicator for CWASHER,"1 Imputed
0 Not imputed",APPLIANCES,
ZDEHUMTYPE,Num,Imputation indicator for DEHUMTYPE,"1 Imputed
0 Not imputed",AIR CONDITIONING,
ZDESKTOP,Num,Imputation indicator for DESKTOP,"1 Imputed
0 Not imputed",ELECTRONICS,
ZDISHWASH,Num,Imputation indicator for DISHWASH,"1 Imputed
0 Not imputed",APPLIANCES,
ZDOOR1SUM,Num,Imputation indicator for DOOR1SUM,"1 Imputed
0 Not imputed",YOUR HOME,
ZDRAFTY,Num,Imputation indicator for DRAFTY,"1 Imputed
0 Not imputed",YOUR HOME,
ZDRYER,Num,Imputation indicator for DRYER,"1 Imputed
0 Not imputed",APPLIANCES,
ZDRYRFUEL,Num,Imputation indicator for DRYRFUEL,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,
ZDRYRUSE,Num,Imputation indicator for DRYRUSE,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,
ZDVD,Num,Imputation indicator for DVD,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,
ZDWASHUSE,Num,Imputation indicator for DWASHUSE,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,
ZDWCYCLE,Num,Imputation indicator for DWCYCLE,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,
ZEDUCATION,Num,Imputation indicator for EDUCATION,"1 Imputed
0 Not imputed",HOUSEHOLD CHARACTERISTICS,
ZELPAY,Num,Imputation indicator for ELPAY,"1 Imputed
0 Not imputed",ENERGY BILLS,
ZELPERIPH,Num,Imputation indicator for ELPERIPH,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,
ZEMPLOYHH,Num,Imputation indicator for EMPLOYHH,"1 Imputed
0 Not imputed",HOUSEHOLD CHARACTERISTICS,
ZENERGYASST,Num,Imputation indicator for ENERGYASST,"1 Imputed
0 Not imputed",ENERGY ASSISTANCE,
ZENERGYASST16,Num,Imputation indicator for ENERGYASST16,"1 Imputed
0 Not imputed
-2 Not applicable",ENERGY ASSISTANCE,
ZENERGYASST17,Num,Imputation indicator for ENERGYASST17,"1 Imputed
0 Not imputed
-2 Not applicable",ENERGY ASSISTANCE,
ZENERGYASST18,Num,Imputation indicator for ENERGYASST18,"1 Imputed
0 Not imputed
-2 Not applicable",ENERGY ASSISTANCE,
ZENERGYASST19,Num,Imputation indicator for ENERGYASST19,"1 Imputed
0 Not imputed
-2 Not applicable",ENERGY ASSISTANCE,
ZENERGYASST20,Num,Imputation indicator for ENERGYASST20,"1 Imputed
0 Not imputed
-2 Not applicable",ENERGY ASSISTANCE,
ZENERGYASSTOTH,Num,Imputation indicator for ENERGYASSTOTH,"1 Imputed
0 Not imputed
-2 Not applicable",ENERGY ASSISTANCE,
ZEQUIPAGE,Num,Imputation indicator for EQUIPAGE,"1 Imputed
0 Not imputed
-2 Not applicable",SPACE HEATING,
ZEQUIPAUXTYPE,Num,Imputation indicator for EQUIPAUXTYPE,"1 Imputed
0 Not imputed
-2 Not applicable",SPACE HEATING,
ZEQUIPM,Num,Imputation indicator for EQUIPM,"1 Imputed
0 Not imputed
-2 Not applicable",SPACE HEATING,
ZFOPAY,Num,Imputation indicator for FOPAY,"1 Imputed
0 Not imputed
-2 Not applicable",ENERGY BILLS,
ZFREEZER,Num,Imputation indicator for FREEZER,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,
ZFUELAUX,Num,Imputation indicator for FUELAUX,"1 Imputed
0 Not imputed
-2 Not applicable",SPACE HEATING,
ZFUELH2O,Num,Imputation indicator for FUELH2O,"1 Imputed
0 Not imputed",WATER HEATING,
ZFUELH2O2,Num,Imputation indicator for FUELH2O2,"1 Imputed
0 Not imputed
-2 Not applicable",WATER HEATING,
ZFUELHEAT,Num,Imputation indicator for FUELHEAT,"1 Imputed
0 Not imputed
-2 Not applicable",SPACE HEATING,
ZFUELPOOL,Num,Imputation indicator for FUELPOOL,"1 Imputed
0 Not imputed
-2 Not applicable",YOUR HOME,
ZFUELTUB,Num,Imputation indicator for FUELTUB,"1 Imputed
0 Not imputed
-2 Not applicable",YOUR HOME,
ZGARGCOOL,Num,Imputation indicator for GARGCOOL,"1 Imputed
0 Not imputed
-2 Not applicable",AIR CONDITIONING,
ZGARGHEAT,Num,Imputation indicator for GARGHEAT,"1 Imputed
0 Not imputed
-2 Not applicable",SPACE HEATING,
ZH2OAPT,Num,Imputation indicator for H2OAPT,"1 Imputed
0 Not imputed
-2 Not applicable",WATER HEATING,
ZH2OMAIN,Num,Imputation indicator for H2OMAIN,"1 Imputed
0 Not imputed
-2 Not applicable",WATER HEATING,
ZHEATAPT,Num,Imputation indicator for HEATAPT,"1 Imputed
0 Not imputed
-2 Not applicable",SPACE HEATING,
ZHEATCNTL,Num,Imputation indicator for HEATCNTL,"1 Imputed
0 Not imputed
-2 Not applicable",THERMOSTAT,
ZHEATHOME,Num,Imputation indicator for HEATHOME,"1 Imputed
0 Not imputed",SPACE HEATING,
ZHHAGE,Num,Imputation indicator for HHAGE,"1 Imputed
0 Not imputed",HOUSEHOLD CHARACTERISTICS,
ZHHSEX,Num,Imputation indicator for HHSEX,"1 Imputed
0 Not imputed",HOUSEHOLD CHARACTERISTICS,
ZHIGHCEIL,Num,Imputation indicator for HIGHCEIL,"1 Imputed
0 Not imputed
-2 Not applicable",YOUR HOME,
ZHOTMA,Num,Imputation indicator for HOTMA,"1 Imputed
0 Not imputed",ENERGY ASSISTANCE,
ZHOUSEFAN,Num,Imputation indicator for HOUSEFAN,"1 Imputed
0 Not imputed
-2 Not applicable",AIR CONDITIONING,
ZHUMIDTYPE,Num,Imputation indicator for HUMIDTYPE,"1 Imputed
0 Not imputed",SPACE HEATING,
ZICE,Num,Imputation indicator for ICE,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,
ZINTERNET,Num,Imputation indicator for INTERNET,"1 Imputed
0 Not imputed",ELECTRONICS,
ZINTSTREAM,Num,Imputation indicator for INTSTREAM,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,
ZINTYPEBROAD,Num,Imputation indicator for INTYPEBROAD,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,
ZINTYPECELL,Num,Imputation indicator for INTYPECELL,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,
ZINTYPEOTH,Num,Imputation indicator for INTYPEOTH,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,
ZKOWNRENT,Num,Imputation indicator for KOWNRENT,"1 Imputed
0 Not imputed",YOUR HOME,
ZLGTIN1TO4,Num,Imputation indicator for LGTIN1TO4,"1 Imputed
0 Not imputed",LIGHTING,
ZLGTIN4TO8,Num,Imputation indicator for LGTIN4TO8,"1 Imputed
0 Not imputed",LIGHTING,
ZLGTINCAN,Num,Imputation indicator for LGTINCAN,"1 Imputed
0 Not imputed",LIGHTING,
ZLGTINCFL,Num,Imputation indicator for LGTINCFL,"1 Imputed
0 Not imputed",LIGHTING,
ZLGTINLED,Num,Imputation indicator for LGTINLED,"1 Imputed
0 Not imputed",LIGHTING,
ZLGTINMORE8,Num,Imputation indicator for LGTINMORE8,"1 Imputed
0 Not imputed",LIGHTING,
ZLGTOUTANY,Num,Imputation indicator for LGTOUTANY,"1 Imputed
0 Not imputed",LIGHTING,
ZLGTOUTCAN,Num,Imputation indicator for LGTOUTCAN,"1 Imputed
0 Not imputed
-2 Not applicable",LIGHTING,
ZLGTOUTCFL,Num,Imputation indicator for LGTOUTCFL,"1 Imputed
0 Not imputed
-2 Not applicable",LIGHTING,
ZLGTOUTLED,Num,Imputation indicator for LGTOUTLED,"1 Imputed
0 Not imputed
-2 Not applicable",LIGHTING,
ZLGTOUTNITE,Num,Imputation indicator for LGTOUTNITE,"1 Imputed
0 Not imputed
-2 Not applicable",LIGHTING,
ZLOCRFRI2,Num,Imputation indicator for LOCRFRI2,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,
ZLPGPAY,Num,Imputation indicator for LPGPAY,"1 Imputed
0 Not imputed
-2 Not applicable",ENERGY BILLS,
ZMICRO,Num,Imputation indicator for MICRO,"1 Imputed
0 Not imputed",APPLIANCES,
ZMONEYPY,Num,Imputation indicator for MONEYPY,"1 Imputed
0 Not imputed",HOUSEHOLD CHARACTERISTICS,
ZMONPOOL,Num,Imputation indicator for MONPOOL,"1 Imputed
0 Not imputed
-2 Not applicable",YOUR HOME,
ZMONTUB,Num,Imputation indicator for MONTUB,"1 Imputed
0 Not imputed
-2 Not applicable",YOUR HOME,
ZMORETHAN1H2O,Num,Imputation indicator for MORETHAN1H2O,"1 Imputed
0 Not imputed",WATER HEATING,
ZNCOMBATH,Num,Imputation indicator for NCOMBATH,"1 Imputed
0 Not imputed",YOUR HOME,
ZNGPAY,Num,Imputation indicator for NGPAY,"1 Imputed
0 Not imputed
-2 Not applicable",ENERGY BILLS,
ZNHAFBATH,Num,Imputation indicator for NHAFBATH,"1 Imputed
0 Not imputed",YOUR HOME,
ZNHSLDMEM,Num,Imputation indicator for NHSLDMEM,"1 Imputed
0 Not imputed",HOUSEHOLD CHARACTERISTICS,
ZNOACBROKE,Num,Imputation indicator for NOACBROKE,"1 Imputed
0 Not imputed",ENERGY ASSISTANCE,
ZNOACDAYS,Num,Imputation indicator for NOACDAYS,"1 Imputed
0 Not imputed
-2 Not applicable",ENERGY ASSISTANCE,
ZNOACEL,Num,Imputation indicator for NOACEL,"1 Imputed
0 Not imputed",ENERGY ASSISTANCE,
ZNOACHELP,Num,Imputation indicator for NOACHELP,"1 Imputed
0 Not imputed
-2 Not applicable",ENERGY ASSISTANCE,
ZNOHEATBROKE,Num,Imputation indicator for NOHEATBROKE,"1 Imputed
0 Not imputed",ENERGY ASSISTANCE,
ZNOHEATBULK,Num,Imputation indicator for NOHEATBULK,"1 Imputed
0 Not imputed",ENERGY ASSISTANCE,
ZNOHEATDAYS,Num,Imputation indicator for NOHEATDAYS,"1 Imputed
0 Not imputed
-2 Not applicable",ENERGY ASSISTANCE,
ZNOHEATEL,Num,Imputation indicator for NOHEATEL,"1 Imputed
0 Not imputed",ENERGY ASSISTANCE,
ZNOHEATHELP,Num,Imputation indicator for NOHEATHELP,"1 Imputed
0 Not imputed
-2 Not applicable",ENERGY ASSISTANCE,
ZNOHEATNG,Num,Imputation indicator for NOHEATNG,"1 Imputed
0 Not imputed",ENERGY ASSISTANCE,
ZNUMADULT1,Num,Imputation indicator for NUMADULT1,"1 Imputed
0 Not imputed",HOUSEHOLD CHARACTERISTICS,
ZNUMADULT2,Num,Imputation indicator for NUMADULT2,"1 Imputed
0 Not imputed",HOUSEHOLD CHARACTERISTICS,
